PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Oubre,53,7,0.48,0.83,1.4,6,1.6,1.1,0.9,1.6,17.4,6.3,13,3.4,4.1,-0.003536529,0.350379271,-0.040050548,0.185517931,-0.618336799,0.249238049,0.352048197,0.258674934,0.542084219
Zach LaVine,54,9,0.44,0.76,2.4,4.9,4,1.2,0.6,3.3,20.4,7.4,17,3.1,4.1,-0.475073706,-0.071764429,1.013911241,-0.211119045,0.508900814,0.440225059,-0.106149023,-1.364009156,1.044556845
Clint Capela,55,8,0.61,0.46,0,9.6,1.3,1.1,1.9,1.5,13.5,6.1,10,1.3,2.8,1.528959298,-1.880951715,-1.515597052,1.48360258,-0.759241501,0.249238049,1.879372264,0.35412694,-0.111130196
Kristaps Porzingis,56,7,0.41,0.67,2.3,8.1,2,0.3,2.3,2.3,19,6.7,16.3,3.3,4.9,-0.828726589,-0.614520615,0.908515062,0.942733976,-0.430463863,-1.278658034,2.490301891,-0.409489103,0.81006962
LaMarcus Aldridge,57,7,0.44,0.86,0.4,6.7,2.3,0.4,2.3,2.3,16.1,6,13.6,3.7,4.3,-0.475073706,0.531298,-1.094012337,0.437923279,-0.289559162,-1.087671024,2.490301891,-0.409489103,0.32434608
Dejounte Murray,58,6,0.49,0.71,0.3,8,4.7,1.8,0.7,3,12.2,4.7,9.5,2.5,3.5,0.114347766,-0.373295643,-1.199408516,0.906676069,0.837678451,1.586147121,0.046583384,-1.07765314,-0.328868334
Khris Middleton,59,8,0.48,0.86,2.4,5.3,3,0.9,0.1,2.3,18.6,6.6,13.8,3,3.5,-0.003536529,0.531298,1.013911241,-0.066887417,0.039218475,-0.132735972,-0.869811056,-0.409489103,0.743073269
Myles Turner,60,4,0.55,0.78,2,6.8,0.5,0.5,1.3,1.8,14.8,5.5,10,1.8,2.3,0.821653532,0.048848057,0.592326525,0.473981186,-1.134987372,-0.896684014,0.962977824,0.067770924,0.106607942
Nikola Vucevic,61,8,0.42,0.9,0.8,10.1,2.9,0.8,0.9,1.4,16.3,6.4,15.4,2.8,3.1,-0.710842295,0.772522971,-0.672427621,1.663892114,-0.007749759,-0.323722983,0.352048197,0.449578945,0.357844256
Jrue Holiday,62,5,0.37,0.75,1.8,4.6,6,1.8,0.8,2.2,14.2,5.6,15,1.2,1.6,-1.300263767,-0.132070672,0.381534168,-0.319292766,1.448265492,1.586147121,0.199315791,-0.314037097,0.006113417
Taurean Prince,63,7,0.43,0.7,3.1,7,1.7,1.4,0.6,2.1,15,5.1,12,1.6,2.3,-0.592958001,-0.433601886,1.751684493,0.546097,-0.571368565,0.82219908,-0.106149023,-0.218585092,0.140106117
Chris Paul,64,7,0.45,0.8,2.1,3.7,4.7,1.7,0,2.7,15.6,4.9,11,3.7,4.6,-0.357189412,0.169460542,0.697722704,-0.643813928,0.837678451,1.395160111,-1.022543463,-0.791297124,0.240600643
Montrezl Harrell,65,8,0.69,0.66,0,6.8,2.4,0.6,0.8,2.3,21.1,8.3,12.1,4.6,7,2.472033653,-0.674826858,-1.515597052,0.473981186,-0.242590928,-0.705697003,0.199315791,-0.409489103,1.161800458
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,66,7,0.53,0.64,0.1,9.3,4.9,1.1,1.7,2.6,12.7,3.9,7.4,4.9,7.6,0.585884943,-0.795439344,-1.410200874,1.375428859,0.931614919,0.249238049,1.573907451,-0.695845119,-0.245122896
Kendrick Nunn,67,7,0.46,0.82,2.6,2.1,3.1,1.7,0.1,2,18.3,7.1,15.6,1.4,1.7,-0.239305118,0.290073028,1.224703599,-1.220740438,0.086186709,1.395160111,-0.869811056,-0.123133087,0.692826007
P.J. Washington,68,7,0.57,0.71,2,6.1,1.4,1.1,0.4,2,15.1,5.7,10,1.7,2.4,1.057422121,-0.373295643,0.592326525,0.221575838,-0.712273267,0.249238049,-0.411613836,-0.123133087,0.156855205
Brook Lopez,69,8,0.37,0.92,1.5,4.3,1.9,0.6,2.5,1.4,10.4,3.3,8.9,2.4,2.6,-1.300263767,0.893135457,0.065345631,-0.427466486,-0.477432097,-0.705697003,2.795766705,0.449578945,-0.63035191
Danuel House,70,8,0.48,0.8,2.8,5.4,0.8,0.6,1.1,0.8,13.1,4.4,9.1,1.6,2,-0.003536529,0.169460542,1.435495956,-0.03082951,-0.99408267,-0.705697003,0.657513011,1.022290977,-0.178126546
Jeff Teague,71,6,0.49,0.88,0.8,2.2,6.3,1.3,0.2,2.3,13.2,4.3,8.7,3.7,4.2,0.114347766,0.651910486,-0.672427621,-1.184682531,1.589170193,0.631212069,-0.717078649,-0.409489103,-0.161377459
Andrew Wiggins,72,7,0.44,0.75,2.3,4.7,2.3,0.6,0.9,1.7,22.4,8.4,18.9,3.3,4.4,-0.475073706,-0.132070672,0.908515062,-0.283234859,-0.289559162,-0.705697003,0.352048197,0.163222929,1.379538596
Will Barton,73,5,0.41,0.79,1.6,7.2,2,1.2,1,1.6,14.2,4.4,10.8,3.8,4.8,-0.828726589,0.1091543,0.17074181,0.618212814,-0.430463863,0.440225059,0.504780604,0.258674934,0.006113417
Josh Richardson,74,7,0.41,0.86,1.1,3.9,3.9,1.6,0.9,3,14.6,5.1,12.4,3.1,3.6,-0.828726589,0.531298,-0.356239085,-0.571698114,0.46193258,1.2041731,0.352048197,-1.07765314,0.073109767
Joe Harris,75,7,0.54,0.57,3.4,3.7,1.9,0.9,0.1,1.9,15,5.6,10.3,0.4,0.7,0.703769237,-1.217583044,2.06787303,-0.643813928,-0.477432097,-0.132735972,-0.869811056,-0.027681082,0.140106117
DeMar DeRozan,76,7,0.51,0.75,0,4.9,4.1,1.1,0.7,3.7,20.6,8,15.6,4.6,6.1,0.350116354,-0.132070672,-1.515597052,-0.211119045,0.555869048,0.249238049,0.046583384,-1.745817177,1.07805502
Serge Ibaka,77,7,0.53,0.8,0.7,6.6,0.9,0.7,1.4,2.3,14.9,5.9,11.1,2.4,3,0.585884943,0.169460542,-0.7778238,0.401865372,-0.947114436,-0.514709993,1.115710231,-0.409489103,0.12335703
Eric Paschall,78,8,0.57,0.88,0.8,4.6,1.6,0.5,0.5,1.1,17,6.3,11,3.8,4.3,1.057422121,0.651910486,-0.672427621,-0.319292766,-0.618336799,-0.896684014,-0.258881429,0.735934961,0.475087868
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,79,7,0.45,0.85,1.6,4.9,3.6,1,0.1,2.4,18.9,6.7,14.9,3.9,4.6,-0.357189412,0.470991757,0.17074181,-0.211119045,0.321027879,0.058251038,-0.869811056,-0.504941108,0.793320532
Mitchell Robinson,80,7,0.71,0.76,0,6,0.6,0.7,1.9,0.7,9.6,4,5.6,1.6,2.1,2.707802242,-0.071764429,-1.515597052,0.185517931,-1.088019138,-0.514709993,1.879372264,1.117742982,-0.764344611
Terry Rozier,81,7,0.42,0.77,2.1,4.1,5.6,1,0.4,3.3,16.9,5.9,14,3,3.9,-0.710842295,-0.011458186,0.697722704,-0.4995823,1.260392556,0.058251038,-0.411613836,-1.364009156,0.458338781
Jaylen Brown,82,3,0.5,0.68,1.3,6.7,2,0.7,1,1.3,17.3,6.7,13.3,2.7,4,0.23223206,-0.554214372,-0.145446727,0.437923279,-0.430463863,-0.514709993,0.504780604,0.54503095,0.525335131
